"selfingrate"	"delta"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"means"
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	10	"slope"	5.251205e-06
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	10	"intercept"	0.49985603
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	5000	"slope"	0.0125942826525
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	5000	"intercept"	0.48943205
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	10000	"slope"	0.0014529931895
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	10000	"intercept"	0.50523425
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	0.01338808781
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	0.4892886
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	20000	"slope"	0.023508128086
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	20000	"intercept"	0.487027065
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	25000	"slope"	0.06636819927
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	25000	"intercept"	0.454501385
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	30000	"slope"	0.1388405565
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	30000	"intercept"	0.40204529
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	35000	"slope"	0.1033853225
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	35000	"intercept"	0.428757165
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	40000	"slope"	0.114397986
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	40000	"intercept"	0.426461965
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	45000	"slope"	0.10906617275
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	45000	"intercept"	0.424800875
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	50000	"slope"	0.05766171485
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	50000	"intercept"	0.45456224
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	55000	"slope"	0.05115162984
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	55000	"intercept"	0.458243235
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	60000	"slope"	0.0152716477595
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	60000	"intercept"	0.47187439
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	65000	"slope"	0.01238710986
