"alpha"	"delta"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"means"
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	10	"slope"	-0.000128831
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	10	"intercept"	0.49979563
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	1000	"slope"	-0.000935464657
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	1000	"intercept"	0.49888719
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	2000	"slope"	-0.006136294675
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	2000	"intercept"	0.50089581
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	3000	"slope"	-0.008994129615
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	3000	"intercept"	0.507230325
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	4000	"slope"	0.002636029525
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	4000	"intercept"	0.505030635
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	5000	"slope"	0.015609978055
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	5000	"intercept"	0.48989743
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	6000	"slope"	0.031369461335
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	6000	"intercept"	0.48162086
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	7000	"slope"	0.03502520747
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	7000	"intercept"	0.478512175
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	8000	"slope"	0.0310530355755
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	8000	"intercept"	0.463164225
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	9000	"slope"	0.02391858616827
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	9000	"intercept"	0.47143841
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	10000	"slope"	0.0298681842
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	10000	"intercept"	0.47368537
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	11000	"slope"	0.028411127985
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	11000	"intercept"	0.473659295
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	12000	"slope"	0.03627905685
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	12000	"intercept"	0.47021743
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	13000	"slope"	0.05735255061
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	13000	"intercept"	0.460968915
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	14000	"slope"	0.069183742755
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	14000	"intercept"	0.451048795
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	15000	"slope"	0.0580146563
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	15000	"intercept"	0.462253965
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	16000	"slope"	0.0705522345365
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	16000	"intercept"	0.449622975
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	17000	"slope"	0.0801364845
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	17000	"intercept"	0.4366408
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	18000	"slope"	0.0932389003
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	18000	"intercept"	0.43707933
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	19000	"slope"	0.1004049529
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	19000	"intercept"	0.42898212
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	20000	"slope"	0.1088949636
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	20000	"intercept"	0.41676853
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	21000	"slope"	0.11674821151
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	21000	"intercept"	0.423012635
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	22000	"slope"	0.110470173225
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	22000	"intercept"	0.41919441
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	23000	"slope"	0.1162512198
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	23000	"intercept"	0.41197539
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	24000	"slope"	0.1147472589
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	24000	"intercept"	0.42171571
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	25000	"slope"	0.10421918230485
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	25000	"intercept"	0.4358442
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	26000	"slope"	0.09493251225
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	26000	"intercept"	0.435815745
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	27000	"slope"	0.10005747854
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	27000	"intercept"	0.43453637
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	28000	"slope"	0.090505428995
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	28000	"intercept"	0.43939613
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	29000	"slope"	0.08884859135
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	29000	"intercept"	0.43668237
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	30000	"slope"	0.08883459260775
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	30000	"intercept"	0.430274385
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	31000	"slope"	0.0792592511
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	31000	"intercept"	0.43270271
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	32000	"slope"	0.0980047015
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	32000	"intercept"	0.44434532
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	33000	"slope"	0.10373138965
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	33000	"intercept"	0.42524416
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	34000	"slope"	0.1012240744
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	34000	"intercept"	0.425397915
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	35000	"slope"	0.1274867052
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	35000	"intercept"	0.42500947
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	36000	"slope"	0.13863037467
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	36000	"intercept"	0.405535725
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	37000	"slope"	0.138660393
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	37000	"intercept"	0.41085197
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	38000	"slope"	0.137597714
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	38000	"intercept"	0.40711822
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	39000	"slope"	0.1442408202
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	39000	"intercept"	0.40352
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	40000	"slope"	0.11270961325
"0.0"	"0.0"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"2463436981567416047"	40000	"intercept"	0.41863617
